actual,proposed
2.60954637856e-07,0.0
2.60954637856e-07,0.0
2.59759565824e-07,0.0
2.6913819679999997e-07,0.0
2.65711590496e-07,0.0
2.65711590496e-07,0.0
2.62864571552e-07,0.0
2.5963783683199996e-07,0.0
2.5963783683199996e-07,0.0
2.69020804096e-07,0.0
2.69446922624e-07,0.0
2.69446922624e-07,0.0
2.6580908992e-07,0.0
2.60934699872e-07,0.0
2.60934699872e-07,0.0
2.5973837612799997e-07,0.0
2.69329708736e-07,0.0
2.69329708736e-07,0.0
2.69547864256e-07,0.0
2.6930458508799997e-07,0.0
2.6950275792e-07,0.0
2.6950275792e-07,0.0
2.65866176928e-07,0.0
2.609897752e-07,0.0
2.609897752e-07,0.0
2.5979479257599997e-07,0.0
2.69387600416e-07,0.0
2.69387600416e-07,0.0
2.6574918656e-07,0.0
2.62898501888e-07,0.0
2.5967672931200003e-07,0.0
2.5967672931200003e-07,0.0
2.69057550784e-07,0.0
2.6948492102399995e-07,0.0
2.6948492102399995e-07,0.0
2.65846730688e-07,0.0
2.6299787888e-07,0.0
2.59778252096e-07,0.0
2.59778252096e-07,0.0
2.6915715129599995e-07,0.0
2.6958197340799996e-07,0.0
2.6958197340799996e-07,0.0
2.69341287072e-07,0.0
2.69539504608e-07,0.0
2.69539504608e-07,0.0
2.6590435414400003e-07,0.0
2.61026790112e-07,0.0
2.61026790112e-07,0.0
2.59831986304e-07,0.0
2.69420770784e-07,0.0
2.69420770784e-07,0.0
2.6293618736e-07,0.0
2.6293618736e-07,0.0
2.60909442112e-07,0.0
2.6909335868799996e-07,0.0
2.6909335868799996e-07,0.0
2.6930530035199996e-07,0.0
2.65884997312e-07,0.0
2.65884997312e-07,0.0
2.63032926816e-07,0.0
2.63007669056e-07,0.0
2.63007669056e-07,0.0
2.62992022656e-07,0.0
2.59772306464e-07,0.0
2.59772306464e-07,0.0
2.6914865753599996e-07,0.0
2.6935970512e-07,0.0
2.62873557056e-07,0.0
2.62873557056e-07,0.0
2.6084296726399996e-07,0.0
2.6903135423999997e-07,0.0
2.6903135423999997e-07,0.0
2.6924235711999997e-07,0.0
2.65821025888e-07,0.0
2.65821025888e-07,0.0
2.62973649312e-07,0.0
2.59748255712e-07,0.0
2.59748255712e-07,0.0
2.6912997126400003e-07,0.0
2.69558280288e-07,0.0
2.69558280288e-07,0.0
2.69316699872e-07,0.0
2.69288357536e-07,0.0
2.69288357536e-07,0.0
2.69505037824e-07,0.0
2.69487424448e-07,0.0
2.63000427008e-07,0.0
2.63000427008e-07,0.0
2.6097390528e-07,0.0
2.691594312e-07,0.0
2.691594312e-07,0.0
2.6937222224e-07,0.0
2.62882855488e-07,0.0
2.62882855488e-07,0.0
2.60853293888e-07,0.0
2.69043066688e-07,0.0
2.69043066688e-07,0.0
2.6925317548799996e-07,0.0
2.658312184e-07,0.0
2.658312184e-07,0.0
2.62982187776e-07,0.0
2.60954995488e-07,0.0
2.6913909088e-07,0.0
2.6913909088e-07,0.0
2.6935192662399997e-07,0.0
2.6932505952e-07,0.0
2.6932505952e-07,0.0
2.69539996352e-07,0.0
2.65887903072e-07,0.0
2.65887903072e-07,0.0
2.63037933664e-07,0.0
2.59816921056e-07,0.0
2.59816921056e-07,0.0
2.69188175872e-07,0.0
2.6576514588799995e-07,0.0
2.6576514588799995e-07,0.0
2.62917724608e-07,0.0
2.59697069632e-07,0.0
2.59697069632e-07,0.0
2.6928902809600003e-07,0.0
2.6928902809600003e-07,0.0
2.69504501376e-07,0.0
2.6301799567999997e-07,0.0
2.6301799567999997e-07,0.0
2.60992949184e-07,0.0
2.69174988192e-07,0.0
2.69174988192e-07,0.0
2.69600704384e-07,0.0
2.69600704384e-07,0.0
2.69360018048e-07,0.0
2.69559889632e-07,0.0
2.69559889632e-07,0.0
2.65925499136e-07,0.0
2.63075529728e-07,0.0
2.5985326540799997e-07,0.0
2.5985326540799997e-07,0.0
2.6922849888e-07,0.0
2.6580461951999997e-07,0.0
2.6580461951999997e-07,0.0
2.6295438188800003e-07,0.0
2.5973426336e-07,0.0
2.5973426336e-07,0.0
2.6911293904e-07,0.0
2.69541248064e-07,0.0
2.69541248064e-07,0.0
2.69298862976e-07,0.0
2.69514246848e-07,0.0
2.69487603264e-07,0.0
2.69487603264e-07,0.0
2.69470436928e-07,0.0
2.62986568768e-07,0.0
2.62986568768e-07,0.0
2.60960851712e-07,0.0
2.6914423184e-07,0.0
2.6914423184e-07,0.0
2.6935434063999997e-07,0.0
2.62867164384e-07,0.0
2.62867164384e-07,0.0
2.6083666399999997e-07,0.0
2.6902603446399997e-07,0.0
2.6902603446399997e-07,0.0
2.69237126752e-07,0.0
2.65816644896e-07,0.0
2.65816644896e-07,0.0
2.6296470851199997e-07,0.0
2.6293931664e-07,0.0
2.6293931664e-07,0.0
2.6316306016e-07,0.0
2.6291562352e-07,0.0
2.6288477776e-07,0.0
2.6288477776e-07,0.0
2.6310673312e-07,0.0
2.6307901664e-07,0.0
2.6307901664e-07,0.0
2.6306319142400003e-07,0.0
2.59840703584e-07,0.0
2.59840703584e-07,0.0
2.6921821696e-07,0.0
2.65794158784e-07,0.0
2.65794158784e-07,0.0
2.62943965856e-07,0.0
2.59720002784e-07,0.0
2.59720002784e-07,0.0
2.69100958368e-07,0.0
2.6952837331199996e-07,0.0
2.6952837331199996e-07,0.0
2.65891747616e-07,0.0
2.63043342848e-07,0.0
2.59819692704e-07,0.0
2.59819692704e-07,0.0
2.69193540352e-07,0.0
2.69628018528e-07,0.0
2.69628018528e-07,0.0
2.69382191232e-07,0.0
2.69357335808e-07,0.0
2.69357335808e-07,0.0
2.69573971392e-07,0.0
2.69557162688e-07,0.0
2.63071864e-07,0.0
2.63071864e-07,0.0
2.61045163456e-07,0.0
2.69227515392e-07,0.0
2.69227515392e-07,0.0
2.69439367648e-07,0.0
2.6580368073599997e-07,0.0
2.60926921376e-07,0.0
2.60926921376e-07,0.0
2.59731491712e-07,0.0
2.69324791296e-07,0.0
2.69324791296e-07,0.0
2.69297924192e-07,0.0
2.69297924192e-07,0.0
2.6951326336e-07,0.0
2.694857704e-07,0.0
2.694857704e-07,0.0
2.69468604064e-07,0.0
2.62983752416e-07,0.0
2.62983752416e-07,0.0
2.6095901884799995e-07,0.0
2.59761175168e-07,0.0
2.6935429593599997e-07,0.0
2.6935429593599997e-07,0.0
2.65714183328e-07,0.0
2.63084559936e-07,0.0
2.63084559936e-07,0.0
2.6105750176e-07,0.0
2.69236635008e-07,0.0
2.69236635008e-07,0.0
2.69451169504e-07,0.0
2.6296555788799997e-07,0.0
2.6296555788799997e-07,0.0
2.63187513248e-07,0.0
2.6316216608e-07,0.0
2.6316216608e-07,0.0
2.6291383535999997e-07,0.0
2.63130336832e-07,0.0
2.63104408512e-07,0.0
2.63104408512e-07,0.0
2.63085006976e-07,0.0
2.59864754336e-07,0.0
2.59864754336e-07,0.0
2.6923958547200003e-07,0.0
2.69452331808e-07,0.0
2.62968418944e-07,0.0
2.62968418944e-07,0.0
2.6094274659199997e-07,0.0
2.6912657376e-07,0.0
2.6912657376e-07,0.0
2.69337621344e-07,0.0
2.6591459135999997e-07,0.0
2.6591459135999997e-07,0.0
2.62823712096e-07,0.0
2.62823712096e-07,0.0
2.63038961856e-07,0.0
2.63013480576e-07,0.0
2.63013480576e-07,0.0
2.62998683552e-07,0.0
2.59777223904e-07,0.0
2.59777223904e-07,0.0
2.69154379648e-07,0.0
2.6572884624e-07,0.0
2.6572884624e-07,0.0
2.62879323872e-07,0.0
2.60847884704e-07,0.0
2.6903783632e-07,0.0
2.6903783632e-07,0.0
2.69250582656e-07,0.0
2.6582764208e-07,0.0
2.6582764208e-07,0.0
2.62977672672e-07,0.0
2.60952179136e-07,0.0
2.69135603968e-07,0.0
2.69135603968e-07,0.0
2.6934839500800003e-07,0.0
2.69320678528e-07,0.0
2.69320678528e-07,0.0
2.69535972992e-07,0.0
2.69510268192e-07,0.0
2.69510268192e-07,0.0
2.69493951232e-07,0.0
2.6585643145599997e-07,0.0
2.60980655584e-07,0.0
2.60980655584e-07,0.0
2.5978567296e-07,0.0
2.69378793728e-07,0.0
2.69378793728e-07,0.0
2.6573805526400003e-07,0.0
2.60860088896e-07,0.0
2.60860088896e-07,0.0
2.59666715616e-07,0.0
2.69259746976e-07,0.0
2.69259746976e-07,0.0
2.69475220256e-07,0.0
2.65837879296e-07,0.0
2.6095995763199995e-07,0.0
2.6095995763199995e-07,0.0
2.597682384e-07,0.0
2.69358542816e-07,0.0
2.69358542816e-07,0.0
2.69570529184e-07,0.0
2.69330781632e-07,0.0
2.6952984854399996e-07,0.0
2.6952984854399996e-07,0.0
2.65894563968e-07,0.0
2.6101682111999995e-07,0.0
2.6101682111999995e-07,0.0
2.59822866688e-07,0.0
2.6941022063999997e-07,0.0
2.6941022063999997e-07,0.0
2.65776768928e-07,0.0
2.60894421568e-07,0.0
2.60894421568e-07,0.0
2.5970207648e-07,0.0
2.69295599584e-07,0.0
2.69295599584e-07,0.0
2.69509821152e-07,0.0
2.63025684768e-07,0.0
2.63025684768e-07,0.0
2.59800961728e-07,0.0
2.59800961728e-07,0.0
2.69179860928e-07,0.0
2.6961259564800004e-07,0.0
2.6961259564800004e-07,0.0
2.6936489078399996e-07,0.0
2.6956476236800003e-07,0.0
2.6956476236800003e-07,0.0
2.65928762528e-07,0.0
2.6105392544e-07,0.0
2.6105392544e-07,0.0
2.6923247753600004e-07,0.0
2.6923247753600004e-07,0.0
2.65808240544e-07,0.0
2.65808240544e-07,0.0
2.629567512e-07,0.0
2.60933850496e-07,0.0
2.69117811776e-07,0.0
2.69117811776e-07,0.0
2.6932796528e-07,0.0
2.69305479168e-07,0.0
2.69305479168e-07,0.0
2.695181808e-07,0.0
2.69492967744e-07,0.0
2.69492967744e-07,0.0
2.69475354368e-07,0.0
2.62989742752e-07,0.0
2.62989742752e-07,0.0
2.6096228224e-07,0.0
